NPI,Surgeon,Surgeon Specialty,Surgeon Case Volume,Practice Name,Address,Suite,City,State,Zip,Practice Name,Address,Suite,City,State,Zip,Practice Address 1,Practice Address 2,Practice City,Practice State,Practice Zip Code,Practice Phone Number,Practice Fax Number
1124037486,"FORTES, DANIEL",SN CARDIOTHORACIC,60,,,,,,,,,,,,,,,,,,,
1902032600,"PEARCE, PAUL MICHAEL",SN PLASTIC,60,,,,,,,,,,,,,,,,,,,
1871524009,"MEIGS, MATTHEW M",SN OTOLARYNGOLOGY,59,,,,,,,,,,,,,,,,,,,
FD6001452,"DITTO , SHEY K DO",SN GENERAL SURGERY,58,,,,,,,,,,,,,,,,,,,
1780608935,"POLITZ, JOHN",SN CARDIOVASCULAR,58,,,,,,,,,,,,,,,,,,,
1588001424,"SHAH, AMAR S",SN GENERAL SURGERY,58,,,,,,,,,,,,,,,,,,,
1144579699,"REDDY, SHEILA C",SN GASTROENTEROLOGY,57,,,,,,,,,,,,,,,,,,,
1568584159,"WANG, VINCENT YAT-CHUNG",SN NEUROSURGERY,57,,,,,,,,,,,,,,,,,,,
1336114305,"PROPST, ANTHONY MARK",SN GYNECOLOGY,55,,,,,,,,,,,,,,,,,,,
1508952052,"YIUM, MICHAEL J",SN OTOLARYNGOLOGY,55,,,,,,,,,,,,,,,,,,,
1679545370,"MARTINEZ, JOSE",SN OPHTHALMOLOGY,54,,,,,,,,,,,,,,,,,,,
1972822492,"BRATTON, EMILY MARIE",SN OPHTHALMOLOGY,51,,,,,,,,,,,,,,,,,,,
1740224195,"HUSSAINI, AKBAR ALY",SN ORTHOPEDIC,48,,,,,,,,,,,,,,,,,,,
1730322165,"GILLMAN, BRAD",SN ORTHOPEDIC,47,,,,,,,,,,,,,,,,,,,
1316109648,"GRZANKOWSKI, KASSONDRA SUZANNE",SN GYNECOLOGY,47,,,,,,,,,,,,,,,,,,,
1225013758,"WILLEFORD, GEORGE  III",SN GASTROENTEROLOGY,47,,,,,,,,,,,,,,,,,,,
1013929017,"WILLIAMSON, ROBERT A. JR.",SN OTOLARYNGOLOGY,47,,,,,,,,,,,,,,,,,,,
1710979547,"PEARCE, JOHN CHARLES",SN ORTHOPEDIC,45,,,,,,,,,,,,,,,,,,,
1922000504,"PEARCE, STEPHEN MOE",SN ORTHOPEDIC,45,,,,,,,,,,,,,,,,,,,
1528232568,"SHEPARD, TAYLOR HILL",SN OTOLARYNGOLOGY,45,,,,,,,,,,,,,,,,,,,
1497987432,"AMADIO, JORDAN",SN NEUROSURGERY,44,,,,,,,,,,,,,,,,,,,
1639438070,"MILLER, ANDREW HUBBARD",SN GENERAL SURGERY,44,,,,,,,,,,,,,,,,,,,
1154777407,"REED, DONOVAN STEPHEN",SN OPHTHALMOLOGY,44,,,,,,,,,,,,,,,,,,,
1588894323,"SUMMERS, JENNIFER STREET",SN GYNECOLOGY,44,,,,,,,,,,,,,,,,,,,
1174508758,"DABAGHI, RASHAD E",SN GASTROENTEROLOGY,43,,,,,,,,,,,,,,,,,,,
1366886350,"DAO, ASHLEY MARISSA",SN OTOLARYNGOLOGY,43,,,,,,,,,,,,,,,,,,,
1841478674,"O'BRIEN, BRIDGET ANNE",SN GENERAL SURGERY,42,,,,,,,,,,,,,,,,,,,
1558780031,"SOSLAND, RACHEL",SN UROLOGY,42,,,,,,,,,,,,,,,,,,,
1578672739,"ALEMAN, MICAELA",SN UROLOGY,41,,,,,,,,,,,,,,,,,,,
1851735591,"BOWMAN, RACHEL KATHLEEN",SN GYNECOLOGY,40,,,,,,,,,,,,,,,,,,,
1235115064,"JOHNSON, JEFF L",SN GENERAL SURGERY,40,,,,,,,,,,,,,,,,,,,
1497132401,"NGUYEN, VI",SN PODIATRY,40,,,,,,,,,,,,,,,,,,,
1285679787,"OLIVER, DONELL BAIRD",SN GYNECOLOGY,40,,,,,,,,,,,,,,,,,,,
1245407469,"TURLEY, RYAN SCOTT",SN CARDIOVASCULAR,40,,,,,,,,,,,,,,,,,,,
1639262173,"MORGAN, ARTHUR B",SN OTOLARYNGOLOGY,38,,,,,,,,,,,,,,,,,,,
1801156088,"DALTON-FITZGERALD, EIMILE",SN GASTROENTEROLOGY,37,,,,,,,,,,,,,,,,,,,
1114906070,"FAULKENBERRY, TIM L",SN GENERAL SURGERY,37,,,,,,,,,,,,,,,,,,,
1255443974,"HOLZMAN, STEVEN",SN PLASTIC,37,,,,,,,,,,,,,,,,,,,
1245572338,"SOMOGYI, MARIE BRENNER",SN OPHTHALMOLOGY,37,,,,,,,,,,,,,,,,,,,
1083855050,"ZEA, NICOLAS",,37,,,,,,,,,,,,,,,,,,,
1477646917,"BUTLER, ROBERT E",SN OTOLARYNGOLOGY,36,,,,,,,,,,,,,,,,,,,
1841387602,"KAHN, JEFFREY B",SN OTOLARYNGOLOGY,36,,,,,,,,,,,,,,,,,,,
1548556913,"SOMOGYI, JASON ROBERT",SN ORTHOPEDIC,36,,,,,,,,,,,,,,,,,,,
1467471607,"WEIDAW, BLAKE ANN",SN GYNECOLOGY,36,,,,,,,,,,,,,,,,,,,
1295939379,"ORTEGA-BARNETT, JUAN RAMON",SN NEUROLOGY,34,,,,,,,,,,,,,,,,,,,
1558469452,"SHIN, HYON C",SN GENERAL SURGERY,34,,,,,,,,,,,,,,,,,,,
1124290416,"SRYGLEY, FLETCHER DOUGLAS IV",SN GASTROENTEROLOGY,34,,,,,,,,,,,,,,,,,,,
1013258730,"CHEXAL, SARADHA",SN OPHTHALMOLOGY,33,,,,,,,,,,,,,,,,,,,
1366529216,"EGGLESTON, JOHN M. III",SN PLASTIC,33,,,,,,,,,,,,,,,,,,,
1114117769,"JHAVERI, CHIRAG DILIP",SN OPHTHALMOLOGY,33,,,,,,,,,,,,,,,,,,,
1912982596,"BECKER, SCOTT D",SN GASTROENTEROLOGY,32,,,,,,,,,,,,,,,,,,,
1457555013,"EASTEP, LAURA KATE",SN GYNECOLOGY,31,,,,,,,,,,,,,,,,,,,
1770507030,"FELGER, MARK",SN CARDIOTHORACIC,31,,,,,,,,,,,,,,,,,,,
1558521435,"ESFANDIARI, VIDA",SN GYNECOLOGY,30,,,,,,,,,,,,,,,,,,,
1912224031,"INDUKURI, CHAITANYA",SN OPHTHALMOLOGY,30,,,,,,,,,,,,,,,,,,,
1538370309,"NASON, ROBERT",SN OTOLARYNGOLOGY,30,,,,,,,,,,,,,,,,,,,
1083963334,"WILSON, CLARK ALEXANDER",SN UROLOGY,30,,,,,,,,,,,,,,,,,,,
1467595405,"CARRERA LEAL, BENITO",SN GYNECOLOGY,29,,,,,,,,,,,,,,,,,,,
1053433375,"EGELAND, BRENT MICHAEL",SN PLASTIC,29,,,,,,,,,,,,,,,,,,,
1467438531,"NIXON, PETER A",SN OPHTHALMOLOGY,29,,,,,,,,,,,,,,,,,,,
1346234143,"REICH, STEPHANIE JILL",SN GYNECOLOGY,29,,,,,,,,,,,,,,,,,,,
1548274913,"SCHRAM, RICHARD ARNOLD",SN ORTHOPEDIC,29,,,,,,,,,,,,,,,,,,,
1063402295,"SMITH, STEPHEN REILLY",SN OPHTHALMOLOGY,29,,,,,,,,,,,,,,,,,,,
1275611352,"AMATO, MALENA M.",SN OPHTHALMOLOGY,28,,,,,,,,,,,,,,,,,,,
1679885909,"CRAIG, CHRISTINE",SN GYNECOLOGY,28,,,,,,,,,,,,,,,,,,,
1407242308,"CRUZ, ALEX",SN ORTHOPEDIC,28,,,,,,,,,,,,,,,,,,,
1972687127,"DALLAS, JOHN DAVID",SN PULMONARY,28,,,,,,,,,,,,,,,,,,,
1871546283,"PHILLIPS, DAVID LAWRENCE",SN UROLOGY,28,,,,,,,,,,,,,,,,,,,
1740256452,"JEHANGIR, SAIMA KANWAL",SN GYNECOLOGY,27,,,,,,,,,,,,,,,,,,,
1730373580,"LANGEVIN, CLAUDE-JEAN",SN PLASTIC,27,,,,,,,,,,,,,,,,,,,
1346438603,"POTTER, ELISABETH H.",SN PLASTIC,27,,,,,,,,,,,,,,,,,,,
1629092903,"WELLS, JOE",SN CARDIOVASCULAR,27,,,,,,,,,,,,,,,,,,,
1801899711,"WIDNER, J. STEVEN",SN ORAL MAXILLARY,27,,,,,,,,,,,,,,,,,,,
1477743060,"GAUDET, MATTHEW A",SN CARDIOTHORACIC,26,,,,,,,,,,,,,,,,,,,
1427187350,"LAKSHMAN, THIRU VENKAT",SN GENERAL SURGERY,26,,,,,,,,,,,,,,,,,,,
1578875092,"RODRIGUEZ, JOHN PAUL",SN ORTHOPEDIC,26,,,,,,,,,,,,,,,,,,,
1962610659,"IKBAL, NATASYA ANN",SN GYNECOLOGY,25,,,,,,,,,,,,,,,,,,,
1073517736,"MOORE, FROSTY DOYLE RANDALL",SN ORTHOPEDIC,25,,,,,,,,,,,,,,,,,,,
1134548399,"RIEGER, MARY MICAELA",SN GYNECOLOGY,25,,,,,,,,,,,,,,,,,,,
1467440180,"SLATER, PATRICK W",SN OTOLARYNGOLOGY,25,,,,,,,,,,,,,,,,,,,
1508891169,"BINFORD, NANCY",SN GYNECOLOGY,24,,,,,,,,,,,,,,,,,,,
1578720876,"DANNEY, CHRISTOPHER MARC",SN ORTHOPEDIC,24,,,,,,,,,,,,,,,,,,,
1629497482,"LORENZO, DELFINO ESTEVAN",SN GENERAL SURGERY,24,,,,,,,,,,,,,,,,,,,
